event_id,prediction,anomaly_score,threat_type,threat_level,confidence_score,reasons
EVT00015,Suspicious,0.0072093409309647,Phishing,High Threat,50,"[""Activity occurred outside standard operational hours (01:00)"", ""Isolation Forest flagged event as anomalous (score: 0.007209)""]"
EVT00016,Normal,-0.0297220147295063,SQL Injection,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00017,Normal,-0.0431456657480085,Brute Force,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00018,Normal,-0.0018474923212573,Brute Force,Medium Threat,47,"[""Excessive failed login attempts (19 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (01:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00019,Normal,-0.0139479997927047,Phishing,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00020,Normal,-0.0104928661236572,Unauthorized File Access,Normal,32,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00021,Normal,-0.0609714349520083,Unauthorized File Access,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00022,Normal,-0.0551956964761688,Unauthorized File Access,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00023,Suspicious,0.003601313401833,Port Scan,Critical Threat,54,"[""Critical asset vulnerability present (CVSS 9.4)"", ""Activity occurred outside standard operational hours (01:00)"", ""Isolation Forest flagged event as anomalous (score: 0.003601)""]"
EVT00024,Normal,-0.0159901057376293,Brute Force,Low Threat,34,"[""Elevated failed login attempts (7 attempts)"", ""Activity occurred outside standard operational hours (01:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00025,Normal,-0.034304291528026,Brute Force,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00026,Suspicious,0.0170567268829573,Brute Force,Critical Threat,78,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 7.8)"", ""Activity occurred outside standard operational hours (02:00)"", ""Isolation Forest flagged event as anomalous (score: 0.017057)""]"
EVT00027,Normal,-0.0005603479159701,Brute Force,Medium Threat,53,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (02:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00028,Normal,-0.0319319973902885,Brute Force,Medium Threat,48,"[""Excessive failed login attempts (11 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (02:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00029,Normal,-0.0504955683064695,Privilege Escalation,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00030,Normal,-0.0057048804706923,Malware,Medium Threat,47,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (02:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00031,Normal,-0.0231506360207248,Brute Force,Low Threat,39,"[""Elevated failed login attempts (4 attempts)"", ""Activity occurred outside standard operational hours (02:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00032,Normal,-0.0120528968824437,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00033,Normal,-0.0199390312988527,Phishing,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00034,Suspicious,0.0615155126656739,Brute Force,Critical Threat,81,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (02:00)"", ""Isolation Forest flagged event as anomalous (score: 0.061516)""]"
EVT00035,Normal,-0.0465548688111149,Privilege Escalation,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00036,Suspicious,0.0425619287769424,Phishing,High Threat,55,"[""Activity occurred outside standard operational hours (02:00)"", ""Isolation Forest flagged event as anomalous (score: 0.042562)""]"
EVT00037,Normal,-0.0469814734203833,Unauthorized File Access,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00038,Normal,-0.0287368832609438,Brute Force,Medium Threat,56,"[""Excessive failed login attempts (14 attempts exceeded threshold of 10)"", ""Critical asset vulnerability present (CVSS 9.4)"", ""Activity occurred outside standard operational hours (03:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00039,Normal,-0.0066395026916025,USB / Removable Media,Normal,36,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00040,Normal,-0.0246434109919494,Brute Force,Medium Threat,53,"[""Excessive failed login attempts (11 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.0)"", ""Activity occurred outside standard operational hours (03:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00041,Normal,-0.0359844614659688,Brute Force,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00042,Normal,-0.0093311639997606,Brute Force,Low Threat,35,"[""Elevated failed login attempts (10 attempts)"", ""Activity occurred outside standard operational hours (03:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00043,Normal,-0.0087496196982834,USB / Removable Media,Normal,32,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00044,Suspicious,0.0204298973436531,Malware,Critical Threat,69,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (03:00)"", ""Isolation Forest flagged event as anomalous (score: 0.020430)""]"
EVT00045,Normal,-0.0114844566826766,Phishing,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00046,Suspicious,0.0048163883133605,Brute Force,Critical Threat,65,"[""Elevated failed login attempts (6 attempts)"", ""Activity occurred outside standard operational hours (03:00)"", ""Isolation Forest flagged event as anomalous (score: 0.004816)""]"
EVT00047,Normal,-0.0413567850428091,SQL Injection,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00048,Normal,-0.0089152246712174,Port Scan,Normal,32,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00049,Normal,-0.0313329024574279,Phishing,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00050,Normal,-0.0373336571753599,Privilege Escalation,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00051,Normal,-0.0066475206866321,USB / Removable Media,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00052,Normal,-0.0317958030733008,SQL Injection,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00053,Suspicious,0.0156102537783495,Brute Force,Critical Threat,62,"[""Elevated failed login attempts (10 attempts)"", ""Activity occurred outside standard operational hours (04:00)"", ""Isolation Forest flagged event as anomalous (score: 0.015610)""]"
EVT00054,Normal,-0.0317550289845736,Brute Force,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00055,Normal,-0.023666202499668,Brute Force,Low Threat,47,"[""Elevated failed login attempts (10 attempts)"", ""Critical asset vulnerability present (CVSS 9.6)"", ""Activity occurred outside standard operational hours (04:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00056,Normal,-0.0292109031013263,Brute Force,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00057,Suspicious,0.0165686083398567,Brute Force,Critical Threat,68,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (04:00)"", ""Isolation Forest flagged event as anomalous (score: 0.016569)""]"
EVT00058,Normal,-0.0194848055204847,Phishing,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00059,Suspicious,0.0008696662092408,Malware,Critical Threat,64,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (04:00)"", ""Isolation Forest flagged event as anomalous (score: 0.000870)""]"
EVT00060,Normal,-0.0246536371598762,Phishing,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00061,Normal,-0.0409771897218548,Brute Force,Low Threat,36,"[""Elevated failed login attempts (7 attempts)"", ""Activity occurred outside standard operational hours (05:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00062,Normal,-0.0131855150277324,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00063,Normal,-0.0019728753961493,Brute Force,Medium Threat,61,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Critical asset vulnerability present (CVSS 9.7)"", ""Activity occurred outside standard operational hours (05:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00064,Normal,-0.0272358006315661,Port Scan,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00065,Normal,-0.0669689885187522,SQL Injection,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00066,Normal,-0.0523258611856635,Unauthorized File Access,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00067,Normal,-0.0320064250399051,Privilege Escalation,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00068,Normal,-0.0324512706433749,Brute Force,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00069,Normal,-0.024400655638516,Port Scan,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00070,Normal,-0.0146202703063872,Brute Force,Medium Threat,45,"[""Excessive failed login attempts (19 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (05:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00071,Normal,-0.0510153938838599,Brute Force,Low Threat,33,"[""Critical asset vulnerability present (CVSS 9.3)"", ""Activity occurred outside standard operational hours (05:00)"", ""Minor escalation to Low Threat due to critical asset vulnerability and after-hours context on Normal ML baseline""]"
EVT00072,Normal,-0.0167439993141157,Port Scan,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00073,Normal,-0.0207477751091801,Port Scan,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00074,Normal,-0.0369048779800612,Phishing,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00075,Normal,-0.0204916632996471,Brute Force,Medium Threat,44,"[""Excessive failed login attempts (13 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (06:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00076,Suspicious,0.0044542921973528,Phishing,High Threat,50,"[""Activity occurred outside standard operational hours (06:00)"", ""Isolation Forest flagged event as anomalous (score: 0.004454)""]"
EVT00077,Normal,-0.0062857969998434,Brute Force,Low Threat,36,"[""Elevated failed login attempts (8 attempts)"", ""Activity occurred outside standard operational hours (06:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00078,Normal,-0.0746552303780002,Unauthorized File Access,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00079,Suspicious,0.0124424572799731,Brute Force,Critical Threat,67,"[""Excessive failed login attempts (19 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (06:00)"", ""Isolation Forest flagged event as anomalous (score: 0.012442)""]"
EVT00080,Normal,-0.0241886310514281,Privilege Escalation,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00081,Normal,-0.0295712617447196,Phishing,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00082,Normal,-0.0242425786698151,Unauthorized File Access,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00083,Normal,-0.0143951264837126,USB / Removable Media,Normal,31,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00084,Normal,-0.0031695900755414,Brute Force,Medium Threat,47,"[""Excessive failed login attempts (19 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (06:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00085,Normal,-0.0067562258142621,Brute Force,Medium Threat,46,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (07:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00086,Suspicious,0.0068250982267584,Malware,Critical Threat,75,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.6)"", ""Activity occurred outside standard operational hours (07:00)"", ""Isolation Forest flagged event as anomalous (score: 0.006825)""]"
EVT00087,Normal,-0.0203678793217456,USB / Removable Media,Normal,30,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00088,Suspicious,0.0191742160193495,Malware,Critical Threat,79,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 8.0)"", ""Activity occurred outside standard operational hours (07:00)"", ""Isolation Forest flagged event as anomalous (score: 0.019174)""]"
EVT00089,Normal,-0.0450631216442328,USB / Removable Media,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00090,Normal,-0.0432002996832933,Port Scan,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00091,Normal,-0.0612727499562715,Unauthorized File Access,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00092,Normal,-0.0395711266540358,Brute Force,Medium Threat,47,"[""Excessive failed login attempts (13 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (07:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00093,Normal,-0.0328389495749049,Port Scan,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00094,Normal,-0.0117340932530016,Phishing,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00095,Normal,-0.0089907778983052,Malware,Medium Threat,52,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (07:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00096,Normal,-0.026738290983658,Brute Force,Low Threat,32,"[""Elevated failed login attempts (7 attempts)"", ""Activity occurred outside standard operational hours (07:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00097,Normal,-0.0524709343978104,SQL Injection,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00098,Normal,-0.0028834855572777,Phishing,Normal,27,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00099,Suspicious,0.0156632321907594,Malware,Critical Threat,72,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.2)"", ""Isolation Forest flagged event as anomalous (score: 0.015663)""]"
EVT00100,Normal,-0.0255624319036429,USB / Removable Media,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00101,Normal,-0.0145426612449907,Brute Force,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00102,Normal,-0.0287895795862722,Brute Force,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00103,Normal,-0.0011614400059536,Brute Force,Medium Threat,55,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Critical asset vulnerability present (CVSS 9.1)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00104,Normal,-0.0225757464494088,Port Scan,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00105,Normal,-0.0489408652822451,File Access,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00106,Normal,-0.0437578158587397,Port Scan,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00107,Normal,-0.0192052901004344,SQL Injection,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00108,Normal,-0.0362907995605207,Unauthorized File Access,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00109,Normal,-0.0169394206473425,SQL Injection,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00110,Normal,-0.027766207476105,Brute Force,Low Threat,42,"[""Excessive failed login attempts (14 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 7.8)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00111,Normal,-0.0115229000802474,SQL Injection,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00112,Normal,-0.0301796490240612,Brute Force,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00113,Normal,-0.0508920936332361,Phishing,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00114,Normal,-0.0349042454514723,Port Scan,Normal,11,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00115,Normal,-0.0085354166425102,USB / Removable Media,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00116,Normal,-0.0203699727419149,Port Scan,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00117,Normal,-0.0421725857730395,Privilege Escalation,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00118,Normal,-0.0419632637017522,Brute Force,Low Threat,36,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00119,Normal,-0.002066552830772,Brute Force,Normal,32,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00120,Normal,-0.0571094644411977,Unauthorized File Access,Normal,8,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00121,Normal,-0.0051135446081352,Brute Force,Low Threat,36,"[""Excessive failed login attempts (13 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00122,Normal,-0.0456689516421467,Port Scan,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00123,Normal,-0.000156675031213,Malware,Low Threat,37,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00124,Normal,-0.0260025730587878,Brute Force,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00125,Normal,-0.0039690025403426,Brute Force,Low Threat,46,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.7)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00126,Normal,-0.0280684683755251,Malware,Low Threat,38,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00127,Normal,-0.0355180525097535,Brute Force,Low Threat,37,"[""Excessive failed login attempts (11 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00128,Normal,-0.0513432692459715,SQL Injection,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00129,Normal,-0.015975794388632,Malware,Medium Threat,53,"[""Malware payload or malicious signature detected"", ""Critical asset vulnerability present (CVSS 9.2)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00130,Normal,-0.0054148180458044,Brute Force,Low Threat,46,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.6)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00131,Normal,-0.0547212283975078,SQL Injection,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00132,Normal,-0.0180557465360037,Brute Force,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00133,Normal,-0.0149365690020819,USB / Removable Media,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00134,Suspicious,0.0140266311806113,Brute Force,Critical Threat,62,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Isolation Forest flagged event as anomalous (score: 0.014027)""]"
EVT00135,Suspicious,0.0108638811994261,Brute Force,Critical Threat,67,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Isolation Forest flagged event as anomalous (score: 0.010864)""]"
EVT00136,Normal,-0.0144615886187835,Privilege Escalation,Normal,29,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00137,Normal,-0.050327207379034,Privilege Escalation,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00138,Normal,-0.0105426419571823,Brute Force,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00139,Normal,-0.0373415005360788,Phishing,Normal,17,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00140,Suspicious,0.0012091820810515,SQL Injection,Critical Threat,50,"[""Critical asset vulnerability present (CVSS 9.5)"", ""Isolation Forest flagged event as anomalous (score: 0.001209)""]"
EVT00141,Suspicious,0.0164524664875975,Brute Force,Critical Threat,62,"[""Excessive failed login attempts (14 attempts exceeded threshold of 10)"", ""Isolation Forest flagged event as anomalous (score: 0.016452)""]"
EVT00142,Normal,-0.0447932568694979,SQL Injection,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00143,Normal,-0.0234103542910183,Brute Force,Low Threat,33,"[""Excessive failed login attempts (14 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00144,Suspicious,0.0432791264770932,Brute Force,Critical Threat,76,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Isolation Forest flagged event as anomalous (score: 0.043279)""]"
EVT00145,Normal,-0.0381943753650854,USB / Removable Media,Normal,17,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00146,Normal,-0.0144734066388367,SQL Injection,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00147,Suspicious,0.0016355558450992,Port Scan,High Threat,50,"[""High asset vulnerability present (CVSS 7.0)"", ""Isolation Forest flagged event as anomalous (score: 0.001636)""]"
EVT00148,Suspicious,0.0061157290534873,USB / Removable Media,Medium Threat,50,"[""Isolation Forest flagged event as anomalous (score: 0.006116)""]"
EVT00149,Normal,-0.0298678068255968,Brute Force,Low Threat,42,"[""Excessive failed login attempts (15 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 7.2)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00150,Normal,-0.0560181560091779,SQL Injection,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00151,Normal,-0.0497858216003955,SQL Injection,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00152,Suspicious,0.0169091386317473,Malware,Critical Threat,62,"[""Malware payload or malicious signature detected"", ""Isolation Forest flagged event as anomalous (score: 0.016909)""]"
EVT00153,Normal,-0.0322648175519965,Brute Force,Low Threat,37,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00154,Normal,-0.0199075973778832,Phishing,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00155,Suspicious,0.0101173831543436,Malware,Critical Threat,60,"[""Malware payload or malicious signature detected"", ""Isolation Forest flagged event as anomalous (score: 0.010117)""]"
EVT00156,Normal,-0.0066305609124691,Brute Force,Low Threat,42,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00157,Normal,-0.0433689192679485,SQL Injection,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00158,Normal,-0.0397172473571088,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00159,Normal,-0.0015549830426266,SQL Injection,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00160,Normal,-0.0506589749641523,SQL Injection,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00161,Suspicious,0.0125691949305842,Malware,Critical Threat,61,"[""Malware payload or malicious signature detected"", ""Isolation Forest flagged event as anomalous (score: 0.012569)""]"
EVT00162,Normal,-0.028214659305058,Brute Force,Low Threat,38,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00163,Normal,-0.0233605033343938,Phishing,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00164,Normal,-0.049336797507767,Privilege Escalation,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00165,Normal,-0.036592249734167,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00166,Normal,-0.028786067990091,Phishing,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00167,Normal,-0.0279822626909654,Phishing,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00168,Normal,-0.0388946952220359,Brute Force,Normal,26,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00169,Normal,-0.0446366730663472,Privilege Escalation,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00170,Suspicious,0.0008237130696304,Malware,Critical Threat,60,"[""Malware payload or malicious signature detected"", ""Isolation Forest flagged event as anomalous (score: 0.000824)""]"
